"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","comparison"
"Csn1s1",4173.0698575857,-5.22898747690639,0.501833420887815,-10.4197673157271,2.01445427416117e-25,2.19575515883567e-23,"basal_virgin_vs_basal_pregnant"
"Csn2",2875.77677340825,-5.99275434533237,0.635825814703724,-9.42515105040964,4.29486943006093e-21,2.34070383938321e-19,"basal_virgin_vs_basal_pregnant"
"Wap",4918.92826705444,-5.58313442255208,0.608369706017576,-9.17720650342635,4.4241931845894e-20,1.60745685706748e-18,"basal_virgin_vs_basal_pregnant"
"Csn1s2a",3997.57415984919,-5.46079779889981,0.621317007643043,-8.78906859417106,1.50804974228427e-18,4.10943554772464e-17,"basal_virgin_vs_basal_pregnant"
"Glycam1",3450.80033630334,-4.96076035411773,0.670908772623229,-7.39409075651423,1.4237914505178e-13,3.1038653621288e-12,"basal_virgin_vs_basal_pregnant"
"Gene_0048",20.6948792773376,3.02490203671453,0.894372949799086,3.38214839502251,0.000719212815778518,0.0130656994866431,"basal_virgin_vs_basal_pregnant"
"Gene_0108",29.9415655759434,2.88411948074896,0.937324209387778,3.07697107560334,0.00209115591217044,0.0325622849180826,"basal_virgin_vs_basal_pregnant"
"Gene_0039",55.1228969345566,-3.90616686458331,1.29563785718995,-3.01486008833919,0.00257097823899874,0.0350295785063579,"basal_virgin_vs_basal_pregnant"
"Gene_0052",23.1858397422903,-2.81384583269449,0.983978964910446,-2.85966055478694,0.00424094681146456,0.0462263202449637,"basal_virgin_vs_basal_pregnant"
"Gene_0069",55.2960493509267,-3.69450020631847,1.28281999987212,-2.87998332321509,0.00397696206667945,0.0462263202449637,"basal_virgin_vs_basal_pregnant"
"Gene_0074",48.4299598202944,-3.52165109685486,1.25538681832845,-2.80523185797343,0.00502803970644005,0.0484504745236423,"basal_virgin_vs_basal_pregnant"
"Gene_0089",44.7081373544326,-3.09315751703159,1.11019492217524,-2.78613913219046,0.00533399719526337,0.0484504745236423,"basal_virgin_vs_basal_pregnant"
"Gene_0053",26.8107299422076,-2.68915892053525,1.07072892860095,-2.51152168275587,0.0120211900773611,0.100793055264028,"basal_virgin_vs_basal_pregnant"
"Gene_0070",19.9846284560047,1.78814925646269,0.767574353519873,2.32961047781594,0.0198267478677575,0.154365394113254,"basal_virgin_vs_basal_pregnant"
"Gene_0082",30.9358987148659,2.0780079005673,0.904973113287414,2.29620954485455,0.0216639030611882,0.157424362244634,"basal_virgin_vs_basal_pregnant"
"Gene_0034",21.7742065957562,-1.87830703013918,0.896236371703863,-2.09577192963981,0.0361024275649433,0.238385758107144,"basal_virgin_vs_basal_pregnant"
"Gene_0766",18.062002745573,1.60658568557537,0.770992765168947,2.08378827682426,0.0371794301634996,0.238385758107144,"basal_virgin_vs_basal_pregnant"
"Gene_0065",23.5425653530775,-2.00870176170567,0.993206640488862,-2.02244093003342,0.0431308202382603,0.248262945301469,"basal_virgin_vs_basal_pregnant"
"Gene_0697",18.8586331390289,-1.64914337808958,0.815985814516031,-2.02104417595507,0.0432751923002561,0.248262945301469,"basal_virgin_vs_basal_pregnant"
"Gene_0025",29.6090834059935,-1.83412719416774,0.98006775020098,-1.87142898416117,0.0612856446187432,0.318101679211572,"basal_virgin_vs_basal_pregnant"
"Gene_0093",18.7118207619785,1.52944789504698,0.809374563090317,1.88966637301686,0.0588025941510889,0.318101679211572,"basal_virgin_vs_basal_pregnant"
"Gene_0064",40.2190712673621,-2.01304975809731,1.08987241540849,-1.84705083791189,0.0647397726332536,0.320756146228393,"basal_virgin_vs_basal_pregnant"
"Gene_0033",31.4735369404845,1.74573252603981,0.972698658761843,1.7947310920136,0.072696554269113,0.344518452840579,"basal_virgin_vs_basal_pregnant"
"Gene_0100",48.336013624375,-2.16075340722017,1.24295797067668,-1.73839619536277,0.0821410266336781,0.372964543766304,"basal_virgin_vs_basal_pregnant"
"Gene_0161",18.3374302479699,1.31754950125711,0.766286332397596,1.71939579965454,0.0855423265519045,0.372964543766304,"basal_virgin_vs_basal_pregnant"
